"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOA","Target","Disease.Area","Indication","Phase"
"82","L-741742","133008","HA1E","trt_cp","down",-0.251370813933149,0.0238390479829864,0.193218216773566,-0.973461058352872,-65.3726015171798,2241,0,106,100,"DRD3; DRD4; SCN1A; SCN3A","dopamine receptor antagonist","DRD3, DRD4, SCN1A, SCN3A","","","Preclinical"
"83","clemastine","26987","HA1E","trt_cp","down",-0.248777195234736,0.0269838449429949,0.212741392726072,-0.963416985361197,-62.2043730477465,2241,-0.0217366480035172,106,100,"HRH1","histamine receptor antagonist","HRH1","allergy","allergic rhinitis, urticaria","Launched"
"84","BML-190","2415","HA1E","trt_cp","down",-0.247427056010208,0.0304563795009032,0.23393838815703,-0.958188423071615,-71.619812583668,2241,0,106,100,"CNR2","cannabinoid receptor inverse agonist","CNR2","","","Preclinical"
"85","clobenpropit","2790","HA1E","trt_cp","down",-0.2443108172891,0.0363066327065934,0.267389040491059,-0.946120446698125,-53.8152610441767,2241,0,106,100,"HRH1; HRH2; HRH3; HRH4","histamine receptor antagonist","HRH1, HRH2, HRH3, HRH4","","","Preclinical"
"86","SD-169","14973220","HA1E","trt_cp","down",-0.242307369092655,0.0406627445210355,0.29225791166855,-0.938361873731158,-63.9000446229362,2241,0.0154003291977524,106,100,"MAPK14","p38 MAPK inhibitor","MAPK14","","","Preclinical"
"87","GW-6471","44634742","HA1E","trt_cp","down",-0.24190443448634,0.0406627445210355,0.29225791166855,-0.936801465256631,-63.186077643909,2241,0,106,100,"PPARA","PPAR receptor antagonist","PPARA","","","Preclinical"
"88","methylergometrine","4140","HA1E","trt_cp","down",-0.241699467790474,0.0406627445210355,0.29225791166855,-0.936007709237134,-62.0258813029897,2241,0,106,100,"DRD1; HTR1E; HTR1F; HTR2B","dopamine receptor antagonist, serotonin receptor antagonist","DRD1, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C","hematology, neurology/psychiatry","postpartum hemorrhage (PPH), migraine headache","Launched"
"89","tyrphostin-AG-18","NotFound","HA1E","trt_cp","down",-0.240442198291255,0.0454072586806183,0.314451408995329,-0.931138795148844,-52.1195894689871,2241,0,106,100,"EGFR","EGFR inhibitor, tyrosine kinase inhibitor","EGFR","","","Preclinical"
"90","REV-5901","5059","HA1E","trt_cp","down",-0.238727180052509,0.0479388803977101,0.314451408995329,-0.924497198840735,-67.8268630075859,2241,-0.0223319154686737,106,100,"ALOX5","leukotriene receptor antagonist, lipoxygenase inhibitor","ALOX5","","","Phase 2"
"91","RHC-80267","5063","HA1E","trt_cp","down",-0.238633410992665,0.0479388803977101,0.314451408995329,-0.924134067867781,-57.429718875502,2241,0,106,100,"DAGLA; DAGLB; LIPC; LIPE; LIPG","triacylglycerol lipase inhibitor","DAGLA, DAGLB","","","Preclinical"
"92","GBR-13069","5974189","HA1E","trt_cp","down",-0.2370111581881,0.0532625383566355,0.314451408995329,-0.917851715882128,-51.896474788041,2241,0,106,100,"SLC6A3","dopamine reuptake inhibitor","SLC6A3","","","Preclinical"
"93","eliprodil","60703","HA1E","trt_cp","down",-0.236873186891077,0.0532625383566355,0.314451408995329,-0.91731740689565,-68.3177153056671,2241,-0.0125859681752064,106,100,"GRIN1; GRIN2B","glutamate receptor antagonist","GRIN1, GRIN2B","","","Phase 3"
"94","olvanil","5808649","HA1E","trt_cp","down",-0.236348473460934,0.0560728741151226,0.314451408995329,-0.915285396563799,-38.2418563141455,2241,0,106,100,"CNR1; GPR119; TRPV1","TRPV agonist","CNR1, GPR119, TRPV1","","","Preclinical"
"95","hexylresorcinol","3610","HA1E","trt_cp","down",-0.235213725994266,0.0589969453950692,0.314451408995329,-0.910890962490158,-65.9526996876394,2241,-0.0182178192498032,106,100,"TGM2; TOP1; TYR","local anesthetic","TYR","infectious disease","skin infections, first-aid antiseptic","Launched"
"96","rimcazole","5072","HA1E","trt_cp","down",-0.234593575271948,0.0589969453950692,0.314451408995329,-0.908489360772601,-55.1093261936635,2241,0,106,100,"SIGMAR1","sigma receptor antagonist","SIGMAR1","","","Phase 1"
"97","linoleic-acid","5280450","HA1E","trt_cp","down",-0.234545352253238,0.0589969453950692,0.314451408995329,-0.908302611841427,-74.2525658188309,2241,0.80831002112203,106,100,"FABP4; FFAR1; FFAR4; HNF4A; KCNB1; PPARG; TRPM8","oxidative stress inducer","FABP4, FFAR1, FFAR4, HNF4A, KCNB1, PPARG, TRPM8","","","Phase 3"
"98","rizatriptan","5078","HA1E","trt_cp","down",-0.23419263240013,0.0620255045215908,0.314451408995329,-0.906936665508454,-52.1195894689871,2241,0,106,100,"HTR1B; HTR1D; HTR1E; HTR1F","serotonin receptor agonist","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F","neurology/psychiatry","migraine headache","Launched"
"99","BMY-45778","127861","HA1E","trt_cp","down",-0.233147682987676,0.0651635561187426,0.314451408995329,-0.902889984252756,-50.2454261490406,2241,-0.0180577996850551,106,100,"PTGIR","IP1 prostacyclin receptor agonist","PTGIR","","","Preclinical"
"100","rimexolone","73707479","HA1E","trt_cp","down",-0.231697737891577,0.0684082279675016,0.314451408995329,-0.89727491277442,-46.7202141900937,2241,-0.0233013231697485,106,100,"NR3C1; SERPINA6","glucocorticoid receptor agonist","NR3C1, SERPINA6","ophthalmology","anterior uveitis","Launched"
"101","INCA-6","230748","HA1E","trt_cp","down",-0.230869124279731,0.0717489885981173,0.314451408995329,-0.894066015643793,-52.4319500223115,2241,0,106,100,"NFATC1","calcineurin inhibitor","NFATC1","","","Preclinical"
"102","fenbendazole","3334","HA1E","trt_cp","down",-0.228166116721999,0.0823824874017293,0.314451408995329,-0.883598322291829,-28.6479250334672,2241,0.946706626225534,106,100,"CYP2D6; CYP2J2; CYP3A4; TUBB","tubulin polymerization inhibitor","TUBB","infectious disease","gastrointestinal parasites, gastrointestinal roundworms","Launched"
"103","methotrexate","4112","HA1E","trt_cp","down",-0.227130316342148,0.0861386100696779,0.314451408995329,-0.879587071668757,-49.0852298081214,2241,-1.13083688523989,106,100,"ABCB1; ABCC2; ABCC3; ABCC4; ABCG2; AOX1; CRP; DHFR; FOLR1; FOLR2; FPGS; GGH; PDF; SLC19A1; SLC22A6; TYMS","dihydrofolate reductase inhibitor","DHFR","oncology, hematologic malignancy, dermatology, rheumatology","gestational choriocarcinoma, hydatidiform mole, acute lymphoblastic leukemia (ALL), psoriasis, rheumatoid arthritis","Launched"
"104","metixene","4167","HA1E","trt_cp","down",-0.226920624905467,0.0861386100696779,0.314451408995329,-0.878775018572037,-61.7135207496653,2241,-0.0175755003714408,106,100,"CHRM1; CHRM4; CHRM5","acetylcholine receptor antagonist","CHRM5","neurology/psychiatry","Parkinson's Disease","Launched"
"105","CI-966","198692","HA1E","trt_cp","down",-0.226446229765334,0.0899925622582848,0.314451408995329,-0.876937871339368,-58.991521642124,2241,0,106,100,"SLC6A1","GAT inhibitor","SLC6A1","","","Phase 1"
"106","exemestane","60198","HA1E","trt_cp","down",-0.223967011654745,0.0979692802249592,0.314451408995329,-0.867336827176526,-52.2980812137439,2241,-0.0260201048152956,106,100,"CYP19A1","aromatase inhibitor","CYP19A1","oncology","breast cancer","Launched"
"107","XE-991","656732","HA1E","trt_cp","down",-0.222863612652778,0.102095114055165,0.314451408995329,-0.863063793472121,-40.1160196340919,2241,0,106,100,"KCNQ1; KCNQ2; KCNQ3; KCNQ4; KCNQ5","potassium channel blocker","KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5","","","Preclinical"
"108","chlorprothixene","667467","HA1E","trt_cp","down",-0.222485187592506,0.106317232500342,0.314451408995329,-0.861598300903928,-35.5198572066042,2241,-0.766233503356429,106,100,"CHRM1; CHRM4; CHRM5; DRD1; DRD3; HRH1; HTR2B","dopamine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, HRH1, HTR2A, HTR2B, HTR2C","neurology/psychiatry","schizophrenia, bipolar disorder","Launched"
"109","lovastatin","3565209","HA1E","trt_cp","down",-0.222302788212997,0.106317232500342,0.314451408995329,-0.860891939293201,-35.921463632307,2241,0,106,100,"APOA1; APOB; CYP2C9; CYP3A5; HDAC2; HMGCR; ITGAL; LDLR; LMNA; NR1I2; RAF1; RASD1; RHOA; RHOB","HMGCR inhibitor","HDAC2, HMGCR, ITGAL, NR1I2","cardiology, endocrinology","coronary heart disease, myocardial infarction, hypercholesterolemia","Launched"
"110","toltrazuril","68591","HA1E","trt_cp","down",-0.222009404986158,0.106317232500342,0.314451408995329,-0.859755780556101,-50.8701472556894,2241,0,106,100,NA,"antiprotozoal agent","","infectious disease","coccidiosis","Launched"
"111","nicotine","89594","HA1E","trt_cp","down",-0.221692966337782,0.106317232500342,0.314451408995329,-0.85853033716937,-55.5555555555556,2241,-0.0171706067433874,106,100,"AOX1; CHAT; CHRNA1; CHRNA10; CHRNA2; CHRNA3; CHRNA4; CHRNA5; CHRNA6; CHRNA7; CHRNA9; CHRNB2; CHRNB3; CHRNB4; CHRND; CHRNE; CYP19A1; CYP2A6; CYP2B6; CYP2E1; CYP2U1; FMO1; FMO2; FMO3; FMO4; FMO5; FMO6P; FOS; INMT; PNMT; TBXAS1; TH; TRPA1; UGT1A4; UGT2B10; UGT2B11","acetylcholine receptor agonist","CHAT, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB2, CHRNB3, CHRNB4, CYP19A1, TBXAS1, TRPA1","neurology/psychiatry","smoking cessation","Launched"
"112","MRS-1845","5202074","HA1E","trt_cp","down",-0.221447363029218,0.110622188353248,0.314451408995329,-0.857579211408393,-57.5189647478804,2241,0,106,100,"ORAI1","calcium channel blocker","","","","Preclinical"
"113","mibefradil","5230270","HA1E","trt_cp","down",-0.221213693580625,0.110622188353248,0.314451408995329,-0.856674300829581,-43.4181169120928,2241,-1.15052569467063,106,100,"ANO1; CACNA1C; CACNA1D; CACNA1F; CACNA1G; CACNA1H; CACNA1I; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CATSPER1; CATSPER2; CATSPER3; CATSPER4; CYP3A5; CYP3A7; SCN2A; SCN4A; SCN5A; SCN9A","T-type calcium channel blocker","ANO1, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CATSPER1, CATSPER2, CATSPER3, CATSPER4","","","Withdrawn"
"114","piperacetazine","19675","HA1E","trt_cp","down",-0.220680118442835,0.110622188353248,0.314451408995329,-0.854607972562523,-41.4100847835788,2241,0,106,100,NA,"dopamine receptor antagonist","","neurology/psychiatry","schizophrenia","Launched"
"115","thiostrepton","16129995","NKDBA","trt_cp","down",-0.22019085471871,0.115029325573816,0.314451408995329,-0.744827565004287,NA,229,0,106,100,"FOXM1","FOXM1 inhibitor, protein synthesis inhibitor","FOXM1","obstetrics/gynecology","mastitis","Launched"
"116","etifenin","170344","HA1E","trt_cp","down",-0.220082506137915,0.115029325573816,0.314451408995329,-0.852293653339341,-38.9558232931727,2241,0,106,100,NA,"renal function diagnostic agent","","","","Preclinical"
"117","dilazep","3074","HA1E","trt_cp","down",-0.218964341008192,0.119505026143938,0.314451408995329,-0.847963436185001,-45.6046407853637,2241,-0.937586298829743,106,100,"CACNA1C; SLC29A1","adenosine reuptake inhibitor","SLC29A1","cardiology","coronary heart disease","Launched"
"118","ZD-7114","121877","HA1E","trt_cp","down",-0.218530304097707,0.119505026143938,0.314451408995329,-0.846282580624908,-50.7362784471218,2241,0,106,100,"ADRB3","adrenergic receptor agonist","ADRB3","","","Phase 1"
"119","ozagrel","5282440","HA1E","trt_cp","down",-0.218358180004995,0.124057253943633,0.314451408995329,-0.845616011189748,-41.231593038822,2241,0,106,100,"TBXAS1","thromboxane synthase inhibitor","TBXAS1","neurology/psychiatry","stroke","Launched"
"120","tolmetin","5509","HA1E","trt_cp","down",-0.218271718951261,0.124057253943633,0.314451408995329,-0.845281181272315,-57.6082106202588,2241,-0.0253584354381693,106,100,NA,"cyclooxygenase inhibitor","PTGS1, PTGS2","rheumatology","rheumatoid arthritis, osteoarthritis","Launched"
"121","PQ-401","9549305","HA1E","trt_cp","down",-0.218263593010291,0.124057253943633,0.314451408995329,-0.845249712674298,-30.9236947791165,2241,-1.07190774240429,106,100,"IGF1R","IGF-1 inhibitor","IGF1R","","","Preclinical"
"122","indirubin-3-monoxime","3707","HA1E","trt_cp","down",-0.215677386096444,0.133358826453085,0.314451408995329,-0.835234342631606,-50.9593931280678,2241,0,106,100,NA,"CDK inhibitor, glycogen synthase kinase inhibitor","CDK1, CDK2, CDK5, CDK5R1, GSK3B","","","Preclinical"
"123","carvedilol","2585","HA1E","trt_cp","down",-0.214917618303102,0.138118354484833,0.314451408995329,-0.832292058487172,-42.1686746987952,2241,0,106,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; CYP2E1; GJA1; HIF1A; KCNH2; KCNJ4; NDUFC2; NPPB; RYR2; SELE; VCAM1; VEGFA","adrenergic receptor antagonist","ADRB1, ADRB2, ADRB3","cardiology","myocardial infarction, hypertension","Launched"
"124","nitrendipine","4507","HA1E","trt_cp","down",-0.212641812894336,0.147753561344876,0.314451408995329,-0.823478752331385,-47.0771976796073,2241,0,106,100,"CACNA1C; CACNA1D; CACNA1H; CACNA1S; CACNA2D1; CACNA2D2; CACNB2; CACNG1; KCNN4","calcium channel blocker","CACNA1D, CACNA2D1, KCNN4","cardiology","hypertension","Launched"
"125","CITCO","9600409","HA1E","trt_cp","down",-0.211964880431637,0.152643166083584,0.314451408995329,-0.820857257093884,-44.3105756358768,2241,0.0224963790129217,106,100,"NR1I3","constitutive androstane receptor (CAR) agonist","NR1I3","","","Preclinical"
"126","rosuvastatin","446157","HA1E","trt_cp","down",-0.211807914666391,0.152643166083584,0.314451408995329,-0.820249389945063,-34.9397590361446,2241,0,106,100,"APOB; CRP; HMGCR; SLCO1B1","HMGCR inhibitor","HMGCR","endocrinology, cardiology","hyperlipidemia, dyslipidemia, hypertriglyceridemia, hypercholesterolemia, atherosclerosis","Launched"
"127","GR-127935","107780","HA1E","trt_cp","down",-0.211563760618629,0.152643166083584,0.314451408995329,-0.819303876605563,-29.0049085229808,2241,-0.823573907327246,106,100,"HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR6","serotonin receptor antagonist","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR6","","","Preclinical"
"128","SB-222200","6604009","HA1E","trt_cp","down",-0.211507350010308,0.152643166083584,0.314451408995329,-0.819085420335244,-48.5051316376618,2241,0,106,100,"TACR3","tachykinin antagonist","TACR3","","","Preclinical"
"129","DMP-543","9887884","HA1E","trt_cp","down",-0.20942312405397,0.167478438447628,0.314451408995329,-0.811014026629837,-32.0838911200357,2241,0,106,100,NA,"acetylcholine release enhancer","","","","Phase 2"
"130","CPCCOEt","6278000","HA1E","trt_cp","down",-0.209204769964077,0.167478438447628,0.314451408995329,-0.810168426458054,-56.7157518964748,2241,0,106,100,"GRM1","glutamate receptor antagonist","GRM1","","","Preclinical"
"131","metergoline","28693","HA1E","trt_cp","down",-0.209180439916752,0.167478438447628,0.314451408995329,-0.810074205680198,-42.4364123159304,2241,0,106,100,"HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR5A; HTR6; HTR7; SCN2A","dopamine receptor agonist, serotonin receptor antagonist","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7","neurology/psychiatry, endocrinology","seasonal affective disorder, anxiety, hyperprolactinemia","Launched"
"132","pyrazolanthrone","8515","HA1E","trt_cp","down",-0.20911940795523,0.167478438447628,0.314451408995329,-0.80983785271254,-38.0633645693887,2241,0,106,100,"LRRK2; MAPK10; MAPK8; MAPK8IP1; MAPK9; TTK","JNK inhibitor","MAPK10, MAPK8, MAPK8IP1, MAPK9, TTK","","","Preclinical"
"133","nadolol","39147","HA1E","trt_cp","down",-0.208868354893276,0.167478438447628,0.314451408995329,-0.808865622183589,-42.3917893797412,2241,-0.0221363331446539,106,100,"ADRB1; ADRB2; ADRB3","adrenergic receptor antagonist","ADRB1, ADRB2, ADRB3","cardiology","angina pectoris, hypertension","Launched"
"134","escitalopram","146570","HA1E","trt_cp","down",-0.208534785670646,0.167478438447628,0.314451408995329,-0.807573838768426,-36.6354306113342,2241,0,106,100,"ADRA1A; CHRM1; HRH1; SLC6A2; SLC6A3; SLC6A4","selective serotonin reuptake inhibitor (SSRI)","SLC6A4","neurology/psychiatry","depression, generalized anxiety disorder (GAD)","Launched"
"135","pirfenidone","40632","HA1E","trt_cp","down",-0.20830470342026,0.172464501875189,0.314451408995329,-0.806682820008272,-42.6149040606872,2241,0.75607563390963,106,100,"FURIN; MAPK14; TNF; TNFRSF1A","TGF beta receptor inhibitor","FURIN, TNF","pulmonary","idiopathic pulmonary fibrosis (IPF)","Launched"
"136","erythromycin-ethylsuccinate","443953","HA1E","trt_cp","down",-0.207572277265287,0.172464501875189,0.314451408995329,-0.803846419358456,-44.578313253012,2241,-0.690030465417548,106,100,NA,"cytochrome P450 inhibitor, protein synthesis inhibitor","ABCB1, ALB, CYP3A4, CYP51A1, KCNH2, MLNR, SLC47A1","infectious disease","listeria, respiratory tract infections, skin infections, syphilis, amebiasis, pelvic inflammatory disease, chlamydia, diphtheria, erythrasma","Launched"
"137","scopolamine","2837667","HA1E","trt_cp","down",-0.207014892366766,0.177460030569984,0.314451408995329,-0.801687885180463,-49.7991967871486,2241,0,106,100,"CHRM1; CHRM4; CHRM5; CHRNA4; CHRNB2; RELA; SI","acetylcholine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, SI","neurology/psychiatry, gastroenterology","motion sickness, vomiting, nausea","Launched"
"138","ZK-93423","121926","HA1E","trt_cp","down",-0.206814570242259,0.177460030569984,0.314451408995329,-0.800912115773176,-50.9593931280678,2241,0,106,100,"GABRA2; GABRA3; GABRA5; GABRB2; GABRG2","benzodiazepine receptor agonist","GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2","","","Phase 3"
"139","sildenafil","5212","HA1E","trt_cp","down",-0.205392155061215,0.187423279657217,0.314451408995329,-0.795403656911584,-43.8197233377956,2241,0,106,100,"C1S; PDE11A; PDE5A; PDE6C; PDE6G; PDE6H; SLCO1B1; SLCO1B3","phosphodiesterase inhibitor","PDE5A, PDE6G, PDE6H, SLCO1B1, SLCO1B3","urology","erectile dysfunction","Launched"
"140","asiatic-acid","119034","HA1E","trt_cp","down",-0.2049708099382,0.187423279657217,0.314451408995329,-0.793771951691061,-43.462739848282,2241,0,106,100,"PYGM","apoptosis stimulant","PYGM","","","Preclinical"
"141","felodipine","3333","HA1E","trt_cp","down",-0.204339093750621,0.192382339874116,0.314451408995329,-0.791325561440268,-33.5564480142793,2241,0,106,100,"CACNA1C; CACNA1D; CACNA1H; CACNA1S; CACNA2D1; CACNA2D2; CACNB2; CALM1; CALM2; CALM3; CFTR; NR3C2; PDE1A; PDE1B; TNNC1; TNNC2","calcium channel blocker","CFTR","cardiology","hypertension","Launched"
"142","MDL-11939","71781","HA1E","trt_cp","down",-0.204177218144639,0.192382339874116,0.314451408995329,-0.790698680394472,-38.5988398036591,2241,0.0145124115734267,106,100,"HTR2B","serotonin receptor antagonist","HTR2A, HTR2B, HTR2C","","","Phase 2"
"143","alimemazine","5574","HA1E","trt_cp","down",-0.20376123241719,0.192382339874116,0.314451408995329,-0.789087730021332,-39.6697902721999,2241,-0.793188436452727,106,100,"HRH1","histamine receptor agonist, histamine receptor antagonist","HRH1","neurology/psychiatry, allergy, pulmonary","sedative, urticaria, itching, cough suppressant","Launched"
"144","RU-28318","3034004","HA1E","trt_cp","down",-0.202337087944261,0.202205938190978,0.314451408995329,-0.783572574287169,-50.334672021419,2241,0.99997220943197,106,100,"NR3C2","cytochrome P450 inhibitor","NR3C2","","","Phase 2"
"145","parachlorophenol","4684","HA1E","trt_cp","down",-0.201354043700566,0.207062555929394,0.314451408995329,-0.779765627589971,-37.5725122713075,2241,0,106,100,"SCN4A","antiinfective drug","","infectious disease","first-aid antiseptic","Launched"
"146","megestrol","73707408","HA1E","trt_cp","down",-0.199992290072294,0.211857943180458,0.314451408995329,-0.774492087247508,-42.0348058902276,2241,0,106,100,"PGR","progesterone receptor agonist","","oncology","breast cancer","Launched"
"147","fludroxycortide","5702172","HA1E","trt_cp","down",-0.198773036801866,0.216603675857202,0.314451408995329,-0.769770395176502,-37.037037037037,2241,0,106,100,"NR3C1; SERPINA6","glucocorticoid receptor agonist","NR3C1, SERPINA6","infectious disease, dermatology","skin infections, psoriasis","Launched"
"148","GW-5074","5924208","HA1E","trt_cp","down",-0.197593535858651,0.221300384977442,0.314451408995329,-0.765202648354407,-33.6456938866577,2241,0,106,100,"LRRK1; LRRK2; NTRK1; RAF1","leucine rich repeat kinase inhibitor, RAF inhibitor","NTRK1, RAF1","","","Phase 1/Phase 2"
"149","loperamide","71420","HA1E","trt_cp","down",-0.194897500033568,0.234854473583397,0.314451408995329,-0.754761953802094,-32.2623828647925,2241,0,106,100,"CACNA1A; CALM1; CALM2; CALM3; CYP2B6; CYP2C8; NPR2; NR1I3; OPRD1; OPRK1; OPRM1; POMC","opioid receptor agonist","CACNA1A, CALM1, OPRD1, OPRK1, OPRM1, POMC","gastroenterology","diarrhea","Launched"
"150","CO-102862","10221150","HA1E","trt_cp","down",-0.194330344361005,0.239193591435287,0.314451408995329,-0.752565581229536,-40.4283801874163,2241,0,106,100,"SCN2A; SCN4A; SCN9A","sodium channel blocker","SCN4A, SCN9A","","","Phase 1"
"151","FK-888","107967","HA1E","trt_cp","down",-0.194180835511975,0.239193591435287,0.314451408995329,-0.751986591806969,-33.5118250780901,2241,0,106,100,"TACR1; TACR2","tachykinin antagonist","TACR1, TACR2","","","Phase 2"
"152","pizotifen","27400","HA1E","trt_cp","down",-0.193644048592521,0.239193591435287,0.314451408995329,-0.749907825563007,-32.8424810352521,2241,0,106,100,"ADRA1B; ADRA1D; ADRA2B; ADRA2C; HTR1B; HTR1D; HTR2B","serotonin receptor antagonist","HTR1A, HTR2A, HTR2C","neurology/psychiatry","migraine headache","Launched"
"153","fluoxetine","3386","HA1E","trt_cp","down",-0.192677804484062,0.243428264959072,0.314451408995329,-0.746165939232885,-37.7063810798751,2241,0,106,100,"ANO1; CHRNA2; CHRNA3; CHRNB4; CKS1B; CYP2C9; HTR2B; KCNH2; SLC6A4","selective serotonin reuptake inhibitor (SSRI)","ANO1, HTR2B, SLC6A4","neurology/psychiatry","depression, obsessive compulsive disorder (OCD), bulimia nervosa, panic disorders, bipolar disorder","Launched"
"154","pinacidil","4826","HA1E","trt_cp","down",-0.190152640484443,0.255458510817974,0.314451408995329,-0.736386964573409,-46.0508701472557,2241,0,106,100,"ABCC8; ABCC9; KCNJ11; KCNJ8","ATP channel activator, potassium channel activator","ABCC8, ABCC9","cardiology","hypertension","Launched"
"155","SR-95639A","195165","HA1E","trt_cp","down",-0.189539227394232,0.255458510817974,0.314451408995329,-0.734011455075466,-20.1249442213298,2241,0,106,100,"CHRM1","acetylcholine receptor agonist","CHRM1","","","Preclinical"
"156","FPL-64176","3423","HA1E","trt_cp","down",-0.189461894838773,0.259216548298604,0.314451408995329,-0.733711976269217,-29.2280232039268,2241,0,106,100,"CACNA1C; CACNA1S","calcium channel activator","CACNA1C, CACNA1S","","","Preclinical"
"157","hydrocortisone-phosphate","441407","HA1E","trt_cp","down",-0.187143042549796,0.266346135727406,0.314451408995329,-0.724731966346538,-28.7817938420348,2241,-0.0144946393269308,106,100,NA,"","","pulmonary, gastroenterology, hematologic malignancy, ophthalmology","asthma, nausea, vomiting, multiple myeloma, contact dermatitis, enteritis, colitis","Launched"
"158","quinethazone","6307","HA1E","trt_cp","down",-0.18618541316954,0.269716053732951,0.314451408995329,-0.721023441496626,-38.2864792503347,2241,0,106,100,"CA1; SLC12A1; SLC12A2; SLC12A3","thiazide diuretic","","cardiology","hypertension","Launched"
"159","zaldaride","65909","HA1E","trt_cp","down",-0.18554743600363,0.269716053732951,0.314451408995329,-0.718552804920269,-34.0473003123605,2241,-0.0215565841476079,106,100,"CALM1","calmodulin antagonist","CALM1","","","Phase 3"
"160","pirlindole","68802","HA1E","trt_cp","down",-0.18490631356831,0.272951869573056,0.314451408995329,-0.716069987943012,-39.1343150379295,2241,0,106,100,"MAOA; SLC6A2; SLC6A4","monoamine oxidase inhibitor","MAOA","neurology/psychiatry","depression","Launched"
"161","ritodrine","31729","HA1E","trt_cp","down",-0.184758161278111,0.272951869573056,0.314451408995329,-0.715496251943363,-31.3253012048193,2241,0,106,100,"ADRB2","adrenergic receptor agonist","","obstetrics/gynecology","premature labor","Withdrawn"
"162","tetramisole","3913","HA1E","trt_cp","down",-0.184653113978333,0.272951869573056,0.314451408995329,-0.715089444748767,-36.813922356091,2241,0,106,100,NA,"immunostimulant","ALPPL2, CHRNA3","infectious disease","gastrointestinal parasites","Launched"
"163","L-693403","4687238","HA1E","trt_cp","down",-0.182730843559809,0.278941338364417,0.314451408995329,-0.707645241633946,-27.1753681392236,2241,0,106,100,"SIGMAR1","sigma receptor agonist, sigma receptor antagonist","DRD2, SIGMAR1","","","Preclinical"
"164","profenamine","3290","HA1E","trt_cp","down",-0.179003612283599,0.289220836173458,0.314451408995329,-0.693211129550313,-31.3253012048193,2241,0,106,100,"BCHE; CHRM1; GRIN3A","butyrylcholinesterase inhibitor, cholinergic receptor antagonist","CHRM1","neurology/psychiatry","Parkinson's Disease","Launched"
"165","zolmitriptan","60857","HA1E","trt_cp","down",-0.17806096547183,0.29140998929054,0.314451408995329,-0.689560626340813,-26.9968763944668,2241,0.0250499031716003,106,100,"HTR1B; HTR1D; HTR1E; HTR1F","serotonin receptor agonist","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F","neurology/psychiatry","migraine headache","Launched"
"166","KN-93","5312122","HA1E","trt_cp","down",-0.174592969205361,0.297223578185218,0.314451408995329,-0.676130430276688,-29.1387773315484,2241,-0.687137483555631,106,100,"CAMK2A","calcium/calmodulin dependent protein kinase inhibitor","CAMK2A","","","Preclinical"
"167","HTMT","124846","HA1E","trt_cp","down",-0.17097304712053,0.303193659498174,0.314451408995329,-0.662111884811058,-34.8505131637662,2241,-0.0132422376962212,106,100,"HRH4","histamine receptor agonist","HRH4","","","Preclinical"
"168","tubocurarine","6713947","HA1E","trt_cp","down",-0.157546519016281,0.312407063587317,0.314451408995329,-0.610116181515753,-25.2119589468987,2241,0,106,100,"ACHE; CHRNA2; CHRNA7; HTR3A; HTR3B; KCNN1; KCNN2; KCNN3; ZACN","acetylcholine receptor antagonist","ACHE, CHRNA2, HTR3A, HTR3B, KCNN1, KCNN2, KCNN3, ZACN","neurology/psychiatry","anesthetic","Launched"
